Position,Track Name,Artist,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1,Sucker,Jonas Brothers,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,audio_features,4y3OI86AEP6PQoDE6olYhO,spotify:track:4y3OI86AEP6PQoDE6olYhO,https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO,https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO,181040,4
2,Undrunk,FLETCHER,https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d,0.679,0.572,5,-6.703,1,0.0781,0.455,2.41e-06,0.127,0.542,92.859,audio_features,5SHhPFh68OhUmuRPymKX9d,spotify:track:5SHhPFh68OhUmuRPymKX9d,https://api.spotify.com/v1/tracks/5SHhPFh68OhUmuRPymKX9d,https://api.spotify.com/v1/audio-analysis/5SHhPFh68OhUmuRPymKX9d,183428,4
3,Moonlight,Gaullin,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW,0.813,0.761,10,-5.687,0,0.085,0.0529,0.0119,0.337,0.29,124.957,audio_features,0A5gdlrpAuQqZ2iFgnqBFW,spotify:track:0A5gdlrpAuQqZ2iFgnqBFW,https://api.spotify.com/v1/tracks/0A5gdlrpAuQqZ2iFgnqBFW,https://api.spotify.com/v1/audio-analysis/0A5gdlrpAuQqZ2iFgnqBFW,173067,4
4,Rebota,Guaynaa,https://open.spotify.com/track/2YRvdf9cdS88y1wB1WhKoE,0.796,0.911,1,-1.998,1,0.285,0.188,0.0,0.499,0.918,180.128,audio_features,2YRvdf9cdS88y1wB1WhKoE,spotify:track:2YRvdf9cdS88y1wB1WhKoE,https://api.spotify.com/v1/tracks/2YRvdf9cdS88y1wB1WhKoE,https://api.spotify.com/v1/audio-analysis/2YRvdf9cdS88y1wB1WhKoE,204631,4
5,I Can Handle It,Steven Furtick,https://open.spotify.com/track/5DAtv6EBqin4Rl7q7sUyCQ,0.548,0.913,4,-3.314,0,0.188,0.198,0.0,0.0826,0.374,149.978,audio_features,5DAtv6EBqin4Rl7q7sUyCQ,spotify:track:5DAtv6EBqin4Rl7q7sUyCQ,https://api.spotify.com/v1/tracks/5DAtv6EBqin4Rl7q7sUyCQ,https://api.spotify.com/v1/audio-analysis/5DAtv6EBqin4Rl7q7sUyCQ,212521,4
6,CROWN,TOMORROW X TOGETHER,https://open.spotify.com/track/32h6yQGn4oAhZ0HRsTMX26,0.622,0.8,5,-5.819,1,0.0425,0.0505,0.0,0.0619,0.58,110.977,audio_features,32h6yQGn4oAhZ0HRsTMX26,spotify:track:32h6yQGn4oAhZ0HRsTMX26,https://api.spotify.com/v1/tracks/32h6yQGn4oAhZ0HRsTMX26,https://api.spotify.com/v1/audio-analysis/32h6yQGn4oAhZ0HRsTMX26,230707,4
7,Act Up,City Girls,https://open.spotify.com/track/4eIT2gZ0WZyJpgfmoD6saJ,0.938,0.638,8,-4.696,1,0.188,0.0171,0.0,0.111,0.313,97.07,audio_features,4eIT2gZ0WZyJpgfmoD6saJ,spotify:track:4eIT2gZ0WZyJpgfmoD6saJ,https://api.spotify.com/v1/tracks/4eIT2gZ0WZyJpgfmoD6saJ,https://api.spotify.com/v1/audio-analysis/4eIT2gZ0WZyJpgfmoD6saJ,158332,4
8,Pa Mí - Remix,Dalex,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH,0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,audio_features,224EVTFiLsdQignUFLvDeH,spotify:track:224EVTFiLsdQignUFLvDeH,https://api.spotify.com/v1/tracks/224EVTFiLsdQignUFLvDeH,https://api.spotify.com/v1/audio-analysis/224EVTFiLsdQignUFLvDeH,360960,4
9,Boasty (feat. Idris Elba),Wiley,https://open.spotify.com/track/7cz506PyIgh2bMN90Mc8Tn,0.887,0.765,2,-5.207,1,0.0669,0.00915,0.000872,0.0907,0.456,102.958,audio_features,7cz506PyIgh2bMN90Mc8Tn,spotify:track:7cz506PyIgh2bMN90Mc8Tn,https://api.spotify.com/v1/tracks/7cz506PyIgh2bMN90Mc8Tn,https://api.spotify.com/v1/audio-analysis/7cz506PyIgh2bMN90Mc8Tn,177186,4
10,Worth It,YK Osiris,https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2,0.764,0.528,5,-4.082,0,0.0588,0.468,0.0,0.0811,0.422,123.936,audio_features,4XiGKQqbmnMVxDzUj6j3f2,spotify:track:4XiGKQqbmnMVxDzUj6j3f2,https://api.spotify.com/v1/tracks/4XiGKQqbmnMVxDzUj6j3f2,https://api.spotify.com/v1/audio-analysis/4XiGKQqbmnMVxDzUj6j3f2,189253,5
11,Talkin' My Shit,Quin Nfn,https://open.spotify.com/track/1H4pOx4uI7BdxM2RL3D99f,0.951,0.322,1,-13.615,1,0.588,0.00136,0.0,0.211,0.366,126.01,audio_features,1H4pOx4uI7BdxM2RL3D99f,spotify:track:1H4pOx4uI7BdxM2RL3D99f,https://api.spotify.com/v1/tracks/1H4pOx4uI7BdxM2RL3D99f,https://api.spotify.com/v1/audio-analysis/1H4pOx4uI7BdxM2RL3D99f,162820,4
12,wish you were gay,Billie Eilish,https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS,0.853,0.351,7,-10.198,1,0.241,0.39,9.38e-06,0.752,0.282,118.028,audio_features,4txc3txsIt81diMzGhrVPS,spotify:track:4txc3txsIt81diMzGhrVPS,https://api.spotify.com/v1/tracks/4txc3txsIt81diMzGhrVPS,https://api.spotify.com/v1/audio-analysis/4txc3txsIt81diMzGhrVPS,221543,4
13,Pop Out (feat. Lil Tjay),Polo G,https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi,0.861,0.621,1,-7.106,1,0.362,0.121,0.0,0.0689,0.254,83.976,audio_features,5AjINjwKyRvQJhSe2zpPHi,spotify:track:5AjINjwKyRvQJhSe2zpPHi,https://api.spotify.com/v1/tracks/5AjINjwKyRvQJhSe2zpPHi,https://api.spotify.com/v1/audio-analysis/5AjINjwKyRvQJhSe2zpPHi,166640,4
14,Dissolve,Absofacto,https://open.spotify.com/track/7pBrj5rt4SSxXwFKOyZfHR,0.688,0.582,6,-10.668,0,0.0542,0.23,0.000157,0.0663,0.872,85.486,audio_features,7pBrj5rt4SSxXwFKOyZfHR,spotify:track:7pBrj5rt4SSxXwFKOyZfHR,https://api.spotify.com/v1/tracks/7pBrj5rt4SSxXwFKOyZfHR,https://api.spotify.com/v1/audio-analysis/7pBrj5rt4SSxXwFKOyZfHR,224661,4
15,Mixed Personalities (feat. Kanye West),YNW Melly,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL,0.661,0.44,2,-9.104,1,0.0803,0.457,0.0,0.128,0.352,149.937,audio_features,6vWEAOUSxohKxhp0K1BsxL,spotify:track:6vWEAOUSxohKxhp0K1BsxL,https://api.spotify.com/v1/tracks/6vWEAOUSxohKxhp0K1BsxL,https://api.spotify.com/v1/audio-analysis/6vWEAOUSxohKxhp0K1BsxL,230400,4
16,I,Lil Skies,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT,0.649,0.453,6,-7.28,1,0.085,0.627,0.0,0.116,0.431,99.183,audio_features,4ZT9FnbFu1PaBfV3itxiqT,spotify:track:4ZT9FnbFu1PaBfV3itxiqT,https://api.spotify.com/v1/tracks/4ZT9FnbFu1PaBfV3itxiqT,https://api.spotify.com/v1/audio-analysis/4ZT9FnbFu1PaBfV3itxiqT,181891,4
17,Murder On My Mind,YNW Melly,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,audio_features,7eBqSVxrzQZtK2mmgRG6lC,spotify:track:7eBqSVxrzQZtK2mmgRG6lC,https://api.spotify.com/v1/tracks/7eBqSVxrzQZtK2mmgRG6lC,https://api.spotify.com/v1/audio-analysis/7eBqSVxrzQZtK2mmgRG6lC,268434,4
18,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt,0.541,0.468,10,-4.039,0,0.362,0.404,3.65e-06,0.358,0.69,95.266,audio_features,1WSGTYKLEpKfNQYYW5Oymt,spotify:track:1WSGTYKLEpKfNQYYW5Oymt,https://api.spotify.com/v1/tracks/1WSGTYKLEpKfNQYYW5Oymt,https://api.spotify.com/v1/audio-analysis/1WSGTYKLEpKfNQYYW5Oymt,158027,4
19,it's not u it's me,Bea Miller,https://open.spotify.com/track/7cLm450e9XaPrEZTSTsfwU,0.776,0.568,0,-6.419,0,0.125,0.0204,1.69e-05,0.078,0.749,150.901,audio_features,7cLm450e9XaPrEZTSTsfwU,spotify:track:7cLm450e9XaPrEZTSTsfwU,https://api.spotify.com/v1/tracks/7cLm450e9XaPrEZTSTsfwU,https://api.spotify.com/v1/audio-analysis/7cLm450e9XaPrEZTSTsfwU,194526,4
20,Shotta Flow,NLE Choppa,https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77,0.888,0.43,9,-6.728,1,0.588,0.0786,1.58e-06,0.132,0.45,120.088,audio_features,4dAMdQ6g4kGmnc1MDHsg77,spotify:track:4dAMdQ6g4kGmnc1MDHsg77,https://api.spotify.com/v1/tracks/4dAMdQ6g4kGmnc1MDHsg77,https://api.spotify.com/v1/audio-analysis/4dAMdQ6g4kGmnc1MDHsg77,160013,4
21,Big Ole Freak,Megan Thee Stallion,https://open.spotify.com/track/3YEbLhXRDPTtctnb3ddg8g,0.799,0.699,2,-7.694,1,0.204,0.00867,0.0,0.132,0.627,142.979,audio_features,3YEbLhXRDPTtctnb3ddg8g,spotify:track:3YEbLhXRDPTtctnb3ddg8g,https://api.spotify.com/v1/tracks/3YEbLhXRDPTtctnb3ddg8g,https://api.spotify.com/v1/audio-analysis/3YEbLhXRDPTtctnb3ddg8g,214851,4
22,HP,Maluma,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,audio_features,31UjYv5vLsDkzchJOtUMtW,spotify:track:31UjYv5vLsDkzchJOtUMtW,https://api.spotify.com/v1/tracks/31UjYv5vLsDkzchJOtUMtW,https://api.spotify.com/v1/audio-analysis/31UjYv5vLsDkzchJOtUMtW,184436,4
23,Con Calma,Daddy Yankee,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,audio_features,5w9c2J52mkdntKOmRLeM2m,spotify:track:5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,193227,4
24,Freak Nasty,Megan Thee Stallion,https://open.spotify.com/track/4rd4bY5IzC4AN6NdgYGtWD,0.953,0.723,1,-6.437,1,0.248,0.00228,0.0,0.336,0.221,99.969,audio_features,4rd4bY5IzC4AN6NdgYGtWD,spotify:track:4rd4bY5IzC4AN6NdgYGtWD,https://api.spotify.com/v1/tracks/4rd4bY5IzC4AN6NdgYGtWD,https://api.spotify.com/v1/audio-analysis/4rd4bY5IzC4AN6NdgYGtWD,173799,4
25,Si Se Da,Myke Towers,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,0.83,0.71,11,-5.523,0,0.326,0.374,0.0,0.0877,0.703,93.977,audio_features,5KbBGUpIZd6gVFUU8tqYiQ,spotify:track:5KbBGUpIZd6gVFUU8tqYiQ,https://api.spotify.com/v1/tracks/5KbBGUpIZd6gVFUU8tqYiQ,https://api.spotify.com/v1/audio-analysis/5KbBGUpIZd6gVFUU8tqYiQ,237013,4
26,MIDDLE CHILD,J. Cole,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,audio_features,2JvzF1RMd7lE3KmFlsyZD8,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8,213594,4
27,Pure Water (with Migos),Mustard,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,0.68,0.559,0,-5.545,1,0.129,0.172,0.0,0.318,0.137,202.006,audio_features,63cd4JkwGgYJrbOizbfmsp,spotify:track:63cd4JkwGgYJrbOizbfmsp,https://api.spotify.com/v1/tracks/63cd4JkwGgYJrbOizbfmsp,https://api.spotify.com/v1/audio-analysis/63cd4JkwGgYJrbOizbfmsp,194520,4
28,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023,audio_features,1wJRveJZLSb1rjhnUHQiv6,spotify:track:1wJRveJZLSb1rjhnUHQiv6,https://api.spotify.com/v1/tracks/1wJRveJZLSb1rjhnUHQiv6,https://api.spotify.com/v1/audio-analysis/1wJRveJZLSb1rjhnUHQiv6,189487,4
29,Wannabe,why mona,https://open.spotify.com/track/6SQZ3rR7kNord3KYrom49J,0.578,0.724,6,-7.02,0,0.0865,0.192,2.38e-05,0.235,0.465,169.827,audio_features,6SQZ3rR7kNord3KYrom49J,spotify:track:6SQZ3rR7kNord3KYrom49J,https://api.spotify.com/v1/tracks/6SQZ3rR7kNord3KYrom49J,https://api.spotify.com/v1/audio-analysis/6SQZ3rR7kNord3KYrom49J,217412,4
30,EX,Kiana Ledé,https://open.spotify.com/track/47cQCF21TczFSmGfpd7c07,0.763,0.537,9,-7.018,0,0.246,0.231,0.0,0.109,0.426,73.51,audio_features,47cQCF21TczFSmGfpd7c07,spotify:track:47cQCF21TczFSmGfpd7c07,https://api.spotify.com/v1/tracks/47cQCF21TczFSmGfpd7c07,https://api.spotify.com/v1/audio-analysis/47cQCF21TczFSmGfpd7c07,222387,4
