Position,"Track Name",Artist,URL
1,Sucker,"Jonas Brothers",https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
2,Undrunk,FLETCHER,https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d
3,Moonlight,Gaullin,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW
4,Rebota,Guaynaa,https://open.spotify.com/track/2YRvdf9cdS88y1wB1WhKoE
5,"Act Up","City Girls",https://open.spotify.com/track/4eIT2gZ0WZyJpgfmoD6saJ
6,CROWN,"TOMORROW X TOGETHER",https://open.spotify.com/track/32h6yQGn4oAhZ0HRsTMX26
7,"Pa Mí - Remix",Dalex,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
8,"I Can Handle It","Steven Furtick",https://open.spotify.com/track/5DAtv6EBqin4Rl7q7sUyCQ
9,"Worth It","YK Osiris",https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2
10,"Boasty (feat. Idris Elba)",Wiley,https://open.spotify.com/track/7cz506PyIgh2bMN90Mc8Tn
11,"Talkin' My Shit","Quin Nfn",https://open.spotify.com/track/1H4pOx4uI7BdxM2RL3D99f
12,"Pop Out (feat. Lil Tjay)","Polo G",https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi
13,"wish you were gay","Billie Eilish",https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS
14,Dissolve,Absofacto,https://open.spotify.com/track/7pBrj5rt4SSxXwFKOyZfHR
15,"Mixed Personalities (feat. Kanye West)","YNW Melly",https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
16,I,"Lil Skies",https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
17,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
18,"Shotta Flow","NLE Choppa",https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77
19,"Murder On My Mind","YNW Melly",https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
20,"it's not u it's me","Bea Miller",https://open.spotify.com/track/7cLm450e9XaPrEZTSTsfwU
21,"Si Se Da","Myke Towers",https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
22,HP,Maluma,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
23,"Con Calma","Daddy Yankee",https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
24,"Freak Nasty","Megan Thee Stallion",https://open.spotify.com/track/4rd4bY5IzC4AN6NdgYGtWD
25,"Big Ole Freak","Megan Thee Stallion",https://open.spotify.com/track/3YEbLhXRDPTtctnb3ddg8g
26,"Pure Water (with Migos)",Mustard,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
27,Suge,DaBaby,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
28,EX,"Kiana Ledé",https://open.spotify.com/track/47cQCF21TczFSmGfpd7c07
29,Juice,Lizzo,https://open.spotify.com/track/0onslUNmSLDkuYaideYWir
30,"MIDDLE CHILD","J. Cole",https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
31,"Sandstorm (feat. JID)",Mereba,https://open.spotify.com/track/1NlWBpNYAnFT7gMGyC0Y1M
32,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
33,Wannabe,"why mona",https://open.spotify.com/track/6SQZ3rR7kNord3KYrom49J
34,"Faucet Failure","Ski Mask The Slump God",https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
35,"Don't Call Me Up",Mabel,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
36,"Tia Tamera (feat. Rico Nasty)","Doja Cat",https://open.spotify.com/track/1uNePI826aqh9uC9pgbeHU
37,Buttercup,"Jack Stauber",https://open.spotify.com/track/2mlGPkAx4kwF8Df0GlScsC
38,Nobody,"Martin Jensen",https://open.spotify.com/track/2qfEcCkEo5NscA9GL7ER72
39,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith",https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM
40,VALENTINO,24kGoldn,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh
41,"Bola Rebola",Tropkillaz,https://open.spotify.com/track/1OUPXna2MCgAt3VNmXJBtg
42,"Cat & Dog","TOMORROW X TOGETHER",https://open.spotify.com/track/5cadLqAgl7Y9zX3lRWdsPK
43,"Envy Me",Calboy,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
44,"Goin Baby",DaBaby,https://open.spotify.com/track/3WyRgi8CzQnhzO0xw79tTS
45,"Shotta Flow 2","NLE Choppa",https://open.spotify.com/track/6oV5zsbz9V2nZ79PYam9yC
46,"Look What God Gave Her","Thomas Rhett",https://open.spotify.com/track/1HY7Ze0NWqDJkl4g4MV62Q
47,"Esclavo de Tus Besos","Manuel Turizo",https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
48,"Grow As We Go","Ben Platt",https://open.spotify.com/track/3N2ppgHelZPCpPVmVsxr9J
49,"Boys Will Be Bugs",Cavetown,https://open.spotify.com/track/67EUBsc4qosGOVbaYy6TeX
50,Soltera,Lunay,https://open.spotify.com/track/4T4CZ3Q4z3GG7lU720YYhM
